,name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Litter Size,Predators,Type,Distinctive Feature,Temperament,Training,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Favorite Food,Origin,Optimum pH Level,Migratory,Special Features,Optimum PH Level
0,Aardvark,"Termites, Ants",Cub,Solitary,Can move up to 2ft of soil in just 15 seconds!,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,,,,,,,,,,,,,,,,,,,,,
1,Aardwolf,Termites and other insects,Cubs or pups,Solitary,The aardwolf has five toes on its front paws,,Habitat loss,The thick mane that runs along the back,"Maanhaar-jackal, termite-eating hyena, and civet hyena",90 days,Savannas and grasslands,Carnivore,,,aardwolf,1,Sub-Saharan Africa,,,2-5,"Jackals, lions, and leopards",mammal,,,,,,,,,,,,,,,,,,
2,Abyssinian,,,,The oldest breed of cat in the world!,,,,aka Aby or Abys for short,,,Omnivore,6,,Abyssinian cat,,,The oldest breed of cat in the world!,Cat,,,Shorthair,Silky fur and almond shaped eyes,Intelligent and curious,Easy,,,,,,,,,,,,,,,
3,Addax,,Calf,Social,"The hooves of the addax are splayed and have flat, springy soles, one of the adaptations that help it walk over sand.",Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,,,Addax,1,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",,herd,1-2,"Humans, big cats such as lions and leopards, medium-sized cats such as servals, hyenas and African wild dogs",Mammal,,,,,,,,,,,,,,,,,,
4,Adelie Penguin,"Krill, Fish, Squid",Chicks,Colony,Eats up to 2kg of food per day!,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,,"Leopard Seal, Skua Gull, Killer Whale",,,,,35cm - 70cm (14in - 27.5in),2 months,90 days,2,,,,,,,,,,,
5,Aesculapian snake,"Rodents, shrews, moles, birds, eggs, lizards, and insects",,,,,,,,,,Carnivore,10 eggs,,Aesculapian snake,,,,,,,,,,,,,,,,,,,,,,,,,
6,Affenpinscher,,,,The German name Affenpinscher translates to monkey dog. This pup’s face is similar to a monkey’s!,,,,,,,Omnivore,3,,Affenpinscher,,,First bred in 17th century Germany!,Dog,,,Terrier,Dark wiry-haired body and dark eyes,Alert and inquisitive,Medium,,,,,,,,,,,,,,,
7,Afghan Hound,,,,"These dogs were originally bred for hunting purposes. They are one of the oldest dog breeds in the world, though they are now found in several rescue shelters around the world. They are known to be as fast as racehorses. The fur that covers these hounds keeps them very warm, though they can be shaved as well. Afghan Hounds have scent glands that usually produce a musky but not malodorous scent.",,,,,,,Omnivore,7,,Afghan Hound,,,First used as a shepherd and hunter!,Dog,,,Hound,Long fur and pointed muzzle,Alert yet reserved and lively,Moderately Easy,,,,,,,,,,,,,,,
8,African Bullfrog,,"Tadpole, polliwog, larva",Solitary,The African bullfrog is one of only three species of frog that have “teeth.”,Unknown,"Habitat destruction, hunting, pet trade",Size,"Pixie frog, Giant African Bullfrog",,"Deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds, lakes",Carnivore,,,African bullfrog,1,Sub-Saharan Africa,,,As many as 4000 eggs laid at a time,Humans,Amphibian,,,,,,,,"Reptiles, small mammals, small birds, insects, amphibians, including other frogs",,,,,,,,,,
9,African Bush Elephant,"Grass, Fruit, Roots",Calf,Herd,Can drink up to 50 gallons a day!,"300,000",Poaching and habitat loss,"Large, rounded ears",African Elephant,20 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Bush Elephant,1,central and southern Africa,Can drink up to 50 gallons a day,Mammal,,"Human, Lion, Hyena",,,,,,,,,,,,,,,,,,,
10,African Civet,"Rodents, Snakes, Frogs",Pup,Solitary,Secretes up to 4g of musk every week!,Abundant,Habitat loss,Black band around their eyes,,60 - 70 days,Tropical rainforest,Omnivore,3,Nocturnal,African Civet,1,across sub-Saharan Africa,Secretes up to 4g of musk every week!,Mammal,,"Lions, Snakes, Leopards",,,,,,,,,,,,,,,,,,,
11,African Clawed Frog,"Small Fish, Insects, Spiders",Tadpole,Solitary,A particularly ferocious amphibian!,Abundant,Water pollution,Clawed front toes,Platanna,,Warm stagnant water with grassland,Carnivore,,Nocturnal,African Clawed Frog,1,eastern and southern Africa,A particularly ferocious amphibian!,Amphibian,,"Snakes, Birds, Small Mammals",,,,,,4 - 5 days,,,,5 days,"2,000",,,,,,,,
12,African Forest Elephant,"Grass, Fruit, Roots",Calf,Herd,The largest known mammal on land!,"200,000",Poaching and habitat loss,"Rounded ears and thin, straight tusks",African Elephant,22 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Forest Elephant,1,central and southern Africa,Have large rounded ears to help keep them cool!,Mammal,,"Human, Lion, Hyena",,,,,,,,,,,,,,,,,,,
13,African Grey Parrot,,,,"When a grey parrot named Yosuke got lost, it was reunited with its owner after giving the owner's name and address.","630,00 to 13 million","Habitat destruction, pet trade, pesticides, hunting",,"Congo grey parrot, grey parrot, Congo African grey parrot",,"Lowland forests, mangroves, savannas, gardens",Herbivore,,,African grey parrot,1,Central and West Africa,,,three to five,"Birds of prey, monkeys, terrestrial predators",bird,,,,18 to 20.5 inches,30 days,,4,,,,Tree cavity,12 weeks,,,,,,
14,African Palm Civet,"Rodents, Snakes, Frogs",Pup,Solitary,Solitary but gathers in groups!,Locally abundant,Habitat loss,"Snout with sharp, pointed teeth",Two-Spotted Palm Civet,64 days,Tropical rainforest,Omnivore,2,Crepuscular,African Palm Civet,1,eastern Africa,Solitary but gathers in groups!,Mammal,,"Lions, Snakes, Leopards",,,,,,,,,,,,,,,,,,,
15,African Penguin,"Fish, Squid, Crustaceans",Chick,Colony,The only penguin species in Africa!,"140,000",Habitat disruption,Pink glands above their eyes,Jackass Penguin,,Rocky Ocean Islands,Carnivore,,Diurnal,African Penguin,1,south-west African coast,The only penguin species in Africa!,Bird,,"Sharks, Fur Seals, Gulls",,,,,,40 days,3 - 5 months,2,,,,,,,,,,,
16,African Tree Toad,"Insects, Worms, Snails",,,,,,,,,Tropical lowland forest,Carnivore,,Solitary,,,Central Africa,Found in tropical moist lowland forests!,,,"Fish, Toads, Birds",Amphibian,Small body size and webbed feet,,,,,,,,,100,,,,,,,,
17,African Wild Dog,"Antelope, Warthog, Rodents",Pup,Pack,Also known as the painted dog!,"Less than 5,000",Habitat loss,Four toes on each foot rather than five,"Hunting Dog, Painted Dog, Painted Wolf",70 days,Open plains and savanna,Carnivore,8,Crepuscular,African Wild Dog,1,sub-Saharan Africa,Also known as the painted dog!,Mammal,,"Lions, Hyenas, Humans",,,,,,,,,,,,,,,,,,,
18,Agama Lizard,"Insects, reptiles, small mammals.",Hatchlings,Group,The agama forms small social groups that contain both dominant and subordinate males.,Unknown,Habitat loss,The bright blue or red colors of the dominant male.,Dragon lizards,8-10 weeks,"Forests, deserts, plains, and urban areas",Omnivore,,,Agama,,Sub-Saharan Africa,,,5-7 eggs,"Snakes, birds, and small mammals",Lizards,,,,,,,,,,,,,"Insects, reptiles, small mammals, flowers, grasses, and fruits",,,,,
19,Aidi,,Puppy,,"This dog has a thick coat of fur despite its origins in Morocco, a country known for its hot temperatures.",,,,"Atlas Mountain Dog, Atlas Shepherd Dog, Berber Dog, Chien de l'Atlas, and Chien de montagne de l'Atlas",,,Omnivore,,,Aidi,,,,,5-8 puppies,,Mammal,,protective and playful,,,,,,,,,,,,Morocco,,,,
20,Ainu,,,,Ainu dogs are natural hunters and will protect their owners from bears.,,,,,,,Omnivore,7,,Ainu Dog,,,An innate sense of direction!,Dog,,,Working,Sharply pointed ears and upturned tail,"Fearless, determined and loyal",Hard,,,,,,,,,,,,,,,
